=== Batch OE check (using P0 from ./P0) ===
n=4
trials=30
seed_order=1
p0_dir=/Users/sawadakouki/Desktop/project/project/P0

=== order_used (each row: agent i's ranking over objects) ===
agent 0: [0, 1, 2, 3]
agent 1: [3, 0, 2, 1]
agent 2: [3, 0, 1, 2]
agent 3: [2, 3, 1, 0]

trial | c_base=c(P0,P0)        | c_new=c(P0,Pnew)        | objective             | EF_returned          | EF_check             | SP_returned          | status
--------------------------------------------------------------------------------------------------------------------------------------------
    0 |  0.000000000000e+00 |  1.665334536938e-16 | -2.220446049250e-16 |  0.000000000000e+00 |  8.881784197001e-16 |  0.000000000000e+00 | OK
    1 |  0.000000000000e+00 |  3.885780586188e-16 |  2.220446049250e-16 |  0.000000000000e+00 |  4.551914400963e-15 |  0.000000000000e+00 | OK
    2 |  0.000000000000e+00 |  4.583265485162e-02 |  4.583265485161e-02 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
    3 |  0.000000000000e+00 |  3.330669073875e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  2.220446049250e-16 |  0.000000000000e+00 | OK
    4 |  0.000000000000e+00 |  6.522560269673e-16 |  2.775557561563e-16 |  0.000000000000e+00 |  1.221245327088e-15 |  0.000000000000e+00 | OK
    5 |  0.000000000000e+00 |  4.996003610813e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  4.440892098501e-16 |  0.000000000000e+00 | OK
    6 |  0.000000000000e+00 |  2.775557561563e-16 | -5.551115123126e-17 |  0.000000000000e+00 |  1.665334536938e-15 |  0.000000000000e+00 | OK
    7 |  0.000000000000e+00 |  2.775557561563e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
    8 |  0.000000000000e+00 |  4.076600168545e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
    9 |  0.000000000000e+00 |  6.661338147751e-16 |  2.220446049250e-16 |  0.000000000000e+00 |  7.216449660064e-16 |  0.000000000000e+00 | OK
   10 |  0.000000000000e+00 |  3.885780586188e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   11 |  0.000000000000e+00 |  1.110223024625e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   12 |  0.000000000000e+00 |  5.551115123126e-17 | -3.885780586188e-16 |  0.000000000000e+00 |  1.276756478319e-15 |  0.000000000000e+00 | OK
   13 |  0.000000000000e+00 |  8.881784197001e-16 |  2.775557561563e-17 |  0.000000000000e+00 |  8.326672684689e-16 |  0.000000000000e+00 | OK
   14 |  0.000000000000e+00 |  4.996003610813e-16 | -2.775557561563e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   15 |  0.000000000000e+00 |  1.171901048188e-03 |  1.171901048188e-03 |  0.000000000000e+00 |  1.776356839400e-15 |  0.000000000000e+00 | OK
   16 |  0.000000000000e+00 |  1.152013091684e-01 |  1.152013091684e-01 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   17 |  0.000000000000e+00 |  4.319461455182e-16 |  1.665334536938e-16 |  0.000000000000e+00 |  3.330669073875e-16 |  0.000000000000e+00 | OK
   18 |  0.000000000000e+00 |  1.665334536938e-16 | -1.942890293094e-16 |  0.000000000000e+00 |  7.216449660064e-16 |  0.000000000000e+00 | OK
   19 |  0.000000000000e+00 |  4.440892098501e-16 | -2.220446049250e-16 |  0.000000000000e+00 |  1.332267629550e-15 |  0.000000000000e+00 | OK
   20 |  0.000000000000e+00 |  3.608224830032e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  6.661338147751e-16 |  0.000000000000e+00 | OK
   21 |  0.000000000000e+00 |  7.216449660064e-16 |  2.220446049250e-16 |  0.000000000000e+00 |  3.330669073875e-16 |  0.000000000000e+00 | OK
   22 |  0.000000000000e+00 |  2.775557561563e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  1.165734175856e-15 |  0.000000000000e+00 | OK
   23 |  0.000000000000e+00 |  1.665334536938e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   24 |  0.000000000000e+00 |  4.440892098501e-16 |  2.220446049250e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   25 |  0.000000000000e+00 |  6.106226635438e-16 |  4.996003610813e-16 |  0.000000000000e+00 |  1.165734175856e-15 |  0.000000000000e+00 | OK
   26 |  0.000000000000e+00 |  1.110223024625e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  2.442490654175e-15 |  0.000000000000e+00 | OK
   27 |  0.000000000000e+00 |  3.885780586188e-16 | -1.110223024625e-16 |  0.000000000000e+00 |  6.661338147751e-16 |  0.000000000000e+00 | OK
   28 |  0.000000000000e+00 |  7.451800092031e-02 |  7.451800092031e-02 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
   29 |  0.000000000000e+00 |  2.220446049250e-16 | -8.881784197001e-16 |  0.000000000000e+00 |  0.000000000000e+00 |  0.000000000000e+00 | OK
